x,y
421,-468.2679492
420.93,-468.2679492
420.86,-468.2679492
420.79,-468.2679492
420.72,-468.2679492
420.65,-468.2679492
420.58,-468.2679492
420.51,-468.2679492
420.44,-468.2679492
420.37,-468.2679492
420.3,-468.2679492
420.23,-468.2679492
420.16,-468.2679492
420.09,-468.2679492
420.02,-468.2679492
419.95,-468.2679492
419.88,-468.2679492
419.81,-468.2679492
419.74,-468.2679492
419.67,-468.2679492
419.6,-468.2679492
419.53,-468.2679492
419.46,-468.2679492
419.39,-468.2679492
419.32,-468.2679492
419.25,-468.2679492
419.18,-468.2679492
419.11,-468.2679492
419.04,-468.2679492
418.97,-468.2679492
418.9,-468.2679492
418.83,-468.2679492
418.76,-468.2679492
418.69,-468.2679492
418.62,-468.2679492
418.55,-468.2679492
418.48,-468.2679492
418.41,-468.2679492
418.34,-468.2679492
418.27,-468.2679492
418.2,-468.2679492
418.13,-468.2679492
418.06,-468.2679492
417.99,-468.2679492
417.92,-468.2679492
417.85,-468.2679492
417.78,-468.2679492
417.71,-468.2679492
417.64,-468.2679492
417.57,-468.2679492
417.5,-468.2679492
417.43,-468.2679492
417.36,-468.2679492
417.29,-468.2679492
417.22,-468.2679492
417.15,-468.2679492
417.08,-468.2679492
417.01,-468.2679492
416.94,-468.2679492
416.87,-468.2679492
416.8,-468.2679492
416.73,-468.2679492
416.66,-468.2679492
416.59,-468.2679492
416.52,-468.2679492
416.45,-468.2679492
416.38,-468.2679492
416.31,-468.2679492
416.24,-468.2679492
416.17,-468.2679492
416.1,-468.2679492
416.03,-468.2679492
415.96,-468.2679492
415.89,-468.2679492
415.82,-468.2679492
415.75,-468.2679492
415.68,-468.2679492
415.61,-468.2679492
415.54,-468.2679492
415.47,-468.2679492
415.4,-468.2679492
415.33,-468.2679492
415.26,-468.2679492
415.19,-468.2679492
415.12,-468.2679492
415.05,-468.2679492
414.98,-468.2679492
414.91,-468.2679492
414.84,-468.2679492
414.77,-468.2679492
414.7,-468.2679492
414.63,-468.2679492
414.56,-468.2679492
414.49,-468.2679492
414.42,-468.2679492
414.35,-468.2679492
414.28,-468.2679492
414.21,-468.2679492
414.14,-468.2679492
414.07,-468.2679492
414,-468.2679492
413.93,-468.2679492
413.86,-468.2679492
413.79,-468.2679492
413.72,-468.2679492
413.65,-468.2679492
413.58,-468.2679492
413.51,-468.2679492
413.44,-468.2679492
413.37,-468.2679492
413.3,-468.2679492
413.23,-468.2679492
413.16,-468.2679492
413.09,-468.2679492
413.02,-468.2679492
412.95,-468.2679492
412.88,-468.2679492
412.81,-468.2679492
412.74,-468.2679492
412.67,-468.2679492
412.6,-468.2679492
412.53,-468.2679492
412.46,-468.2679492
412.39,-468.2679492
412.32,-468.2679492
412.25,-468.2679492
412.18,-468.2679492
412.11,-468.2679492
412.04,-468.2679492
411.97,-468.2679492
411.9,-468.2679492
411.83,-468.2679492
411.76,-468.2679492
411.69,-468.2679492
411.62,-468.2679492
411.55,-468.2679492
411.48,-468.2679492
411.41,-468.2679492
411.34,-468.2679492
411.27,-468.2679492
411.2,-468.2679492
411.13,-468.2679492
411.06,-468.2679492
