x,y
418,-470
417.93,-470
417.86,-470
417.79,-470
417.72,-470
417.65,-470
417.58,-470
417.51,-470
417.44,-470
417.37,-470
417.3,-470
417.23,-470
417.16,-470
417.09,-470
417.02,-470
416.95,-470
416.88,-470
416.81,-470
416.74,-470
416.67,-470
416.6,-470
416.53,-470
416.46,-470
416.39,-470
416.32,-470
416.25,-470
416.18,-470
416.11,-470
416.04,-470
415.97,-470
415.9,-470
415.83,-470
415.76,-470
415.69,-470
415.62,-470
415.55,-470
415.48,-470
415.41,-470
415.34,-470
415.27,-470
415.2,-470
415.13,-470
415.06,-470
414.99,-470
414.92,-470
414.85,-470
414.78,-470
414.71,-470
414.64,-470
414.57,-470
414.5,-470
414.43,-470
414.36,-470
414.29,-470
414.22,-470
414.15,-470
414.08,-470
414.01,-470
413.94,-470
413.87,-470
413.8,-470
413.73,-470
413.66,-470
413.59,-470
413.52,-470
413.45,-470
413.38,-470
413.31,-470
413.24,-470
413.17,-470
413.1,-470
413.03,-470
412.96,-470
412.89,-470
412.82,-470
412.75,-470
412.68,-470
412.61,-470
412.54,-470
412.47,-470
412.4,-470
412.33,-470
412.26,-470
412.19,-470
412.12,-470
412.05,-470
411.98,-470
411.91,-470
411.84,-470
411.77,-470
411.7,-470
411.63,-470
411.56,-470
411.49,-470
411.42,-470
411.35,-470
411.28,-470
411.21,-470
411.14,-470
411.07,-470
411,-470
410.93,-470
410.86,-470
410.79,-470
410.72,-470
410.65,-470
410.58,-470
410.51,-470
410.44,-470
410.37,-470
410.3,-470
410.23,-470
410.16,-470
410.09,-470
410.02,-470
409.95,-470
409.88,-470
409.81,-470
409.74,-470
409.67,-470
409.6,-470
409.53,-470
409.46,-470
409.39,-470
409.32,-470
409.25,-470
409.18,-470
409.11,-470
409.04,-470
408.97,-470
408.9,-470
408.83,-470
408.76,-470
408.69,-470
408.62,-470
408.55,-470
408.48,-470
408.41,-470
408.34,-470
408.27,-470
408.2,-470
408.13,-470
408.06,-470
407.99,-470
407.92,-470
407.85,-470
407.78,-470
407.71,-470
407.64,-470
407.57,-470
407.5,-470
407.43,-470
407.36,-470
407.29,-470
407.22,-470
407.15,-470
407.08,-470
407.01,-470
406.94,-470
406.87,-470
406.8,-470
406.73,-470
406.66,-470
406.59,-470
406.52,-470
406.45,-470
406.38,-470
406.31,-470
406.24,-470
406.17,-470
406.1,-470
406.03,-470
405.96,-470
405.89,-470
405.82,-470
405.75,-470
405.68,-470
405.61,-470
405.54,-470
405.47,-470
405.4,-470
405.33,-470
405.26,-470
405.19,-470
405.12,-470
405.05,-470
404.98,-470
404.91,-470
404.84,-470
